%rank s1 s2 ntasks
109  0  0  1
67  1  0  2
69  1  1  3
2  2  0  4
3  2  1  5
6  2  2  6
26  3  0  7
32  3  1  8
38  3  2  9
39  3  3  10
39  5  1  17
56  4  0  11
58  4  1  12
59  4  2  13
61  4  3  14
63  4  4  15
38  5  0  16
15  6  1  23
18  6  2  24
23  6  4  26
29  6  6  28
40  5  2  18
45  5  4  20
47  5  5  21
12  6  0  22
22  6  3  25
24  6  5  27
43  5  3  19
90  7  2  31
102  7  6  35
84  7  0  29
89  7  1  30
94  7  3  32
97  7  4  33
98  7  5  34
106  7  7  36
69  8  8  45
47  8  0  37
63  8  5  42
49  8  1  38
50  8  2  39
51  8  3  40
52  8  4  41
65  8  6  43
68  8  7  44
102  9  2  48
100  9  1  47
98  9  0  46
108  9  4  50
0  9  6  52
1  9  7  53
106  9  3  49
2  9  8  54
3  9  9  55
109  9  5  51
109  10  6  62
90  10  1  57
1  10  8  64
88  10  0  56
92  10  2  58
102  10  4  60
0  10  7  63
2  10  9  65
94  10  3  59
108  10  5  61
102  11  8  75
90  11  6  73
4  10  10  66
76  11  1  68
77  11  2  69
98  11  7  74
106  11  9  76
47  12  8  87
75  11  0  67
43  12  6  85
0  11  10  77
27  12  1  80
30  12  2  81
45  12  7  86
48  12  9  88
50  12  10  89
81  11  3  70
82  11  4  71
21  12  0  79
32  12  4  83
38  12  5  84
16  13  6  98
6  13  2  94
23  13  8  100
63  14  2  108
54  12  12  91
61  14  1  107
86  11  5  72
88  14  7  113
2  13  1  93
102  14  14  120
90  14  8  114
20  13  7  99
31  12  3  82
35  13  9  101
70  14  4  110
74  14  6  112
1  13  0  92
91  14  9  115
92  14  10  116
94  14  12  118
19  15  2  123
16  15  1  122
37  15  6  127
42  13  10  102
49  13  12  104
51  12  11  90
63  15  15  136
60  14  0  106
66  14  3  109
72  14  5  111
47  15  8  129
50  15  9  130
61  15  14  135
93  14  11  117
99  14  13  119
102  16  2  139
10  13  4  96
38  15  7  128
15  15  0  121
12  13  5  97
21  16  8  145
29  15  4  125
24  16  9  146
45  16  16  153
58  15  12  133
52  15  10  131
3  11  11  78
101  16  1  138
98  16  0  137
7  13  3  95
14  16  6  143
17  16  7  144
22  15  3  124
0  16  4  141
27  16  10  147
34  15  5  126
106  16  3  140
41  16  14  151
44  16  15  152
40  16  12  149
53  13  13  105
56  15  11  132
59  15  13  134
5  16  5  142
43  13  11  103
11  17  1  155
13  17  2  156
38  17  8  162
28  17  6  160
31  17  7  161
46  16  13  150
30  16  11  148
54  17  14  168
58  17  16  170
61  17  17  171
109  17  4  158
9  17  0  154
0  18  6  178
21  17  3  157
23  17  5  159
51  17  13  167
55  17  15  169
39  17  9  163
45  17  10  164
63  18  2  174
47  17  11  165
50  17  12  166
103  18  1  173
2  18  8  180
32  18  16  188
25  18  14  186
102  18  0  172
15  18  12  184
6  18  9  181
46  19  8  199
75  19  6  197
1  18  7  179
107  18  4  176
59  19  2  193
98  19  16  207
94  19  14  205
82  19  9  200
26  18  15  187
33  18  17  189
0  19  17  208
40  20  2  213
53  20  8  219
39  20  1  212
